date,app_id,label,current_players,total_reviews,positive_pct,owners_low,owners_high,avg_playtime_2w_min,ccu_spy
2026-02-22,2183900,Space_Marine_2,9643.0,198621,83.4,5000000.0,10000000.0,360.0,6851.0
2026-02-22,1142710,Total_War_WH3,18643.0,139964,69.9,2000000.0,5000000.0,796.0,16842.0
2026-02-22,1361210,Darktide,4303.0,129243,71.3,2000000.0,5000000.0,509.0,7267.0
2026-02-22,552500,Vermintide_2,2084.0,144811,85.0,2000000.0,5000000.0,337.0,2124.0
2026-02-22,2084200,Boltgun,,0,,0.0,20000.0,0.0,0.0
2026-02-22,1184370,Chaos_Gate,2110.0,41801,83.7,2000000.0,5000000.0,298.0,1874.0
2026-02-22,228380,Dawn_of_War_2,142.0,39687,88.2,1000000.0,2000000.0,139.0,328.0
