date,label,channel_id,title,subscribers,views,videos,subscribers_prev,views_prev,videos_prev,subs_delta_7d,views_delta_7d
2026-02-22,Luetin09,UC8RfCCzWsMgNspTI-GTFenQ,Luetin09,958000,260216359,1947,,,,,
2026-02-22,Squidmar_Miniatures,UCDvZTWvHZPTxJ4K1yTD2a1g,Squidmar Miniatures,775000,110242934,349,,,,,
2026-02-22,WesHammer,UCSDj6ttwzj2sr464jDdg_pA,WesHammer,893000,399828669,449,,,,,
2026-02-22,Majorkill,UC_wb8IVtmXwil8bN3IdVtZw,Majorkill,697000,392340232,1118,,,,,
2026-02-22,Warhammer_Official,UCwdh3MTrFq3sXlB4ct8B-Fg,Warhammer,991000,147631533,1315,,,,,
